OFFENSE_CODE,YEAR,OFFENSE_DESCRIPTION,OCCURRED_ON_DATE,STREET,Lat,Long,Location,OFFENSE_CODE_GROUP
2629,2018,HARASSMENT,2018-09-03 18:17:00,HANSBOROUGH ST,42.28810362,-71.09153335,"(42.28810362, -71.09153335)",Harassment
802,2018,ASSAULT SIMPLE - BATTERY,2018-09-03 19:11:00,SALISBURY PARK,42.29928376,-71.059172,"(42.29928376, -71.05917200)",Simple Assault
2662,2018,BALLISTICS EVIDENCE/FOUND,2018-09-03 18:37:00,COLUMBIA RD,42.30524752,-71.08089418,"(42.30524752, -71.08089418)",Ballistics
3207,2018,PROPERTY - FOUND,2018-09-03 16:43:00,COTTAGE ST,42.36742605,-71.03547266,"(42.36742605, -71.03547266)",Property Found
614,2018,LARCENY THEFT FROM MV - NON-ACCESSORY,2018-09-03 18:44:00,WILMORE ST,42.2779637,-71.09246318,"(42.27796370, -71.09246318)",Larceny From Motor Vehicle
613,2018,LARCENY SHOPLIFTING,2018-09-03 17:54:00,SHAWMUT AVE,42.33318299,-71.08307607,"(42.33318299, -71.08307607)",Larceny
3109,2018,SERVICE TO OTHER PD INSIDE OF MA.,2018-09-02 20:04:00,BRAGDON ST,42.31888243,-71.09929423,"(42.31888243, -71.09929423)",Police Service Incidents
2612,2018,FIRE REPORT/ALARM - FALSE,2018-09-03 18:17:00,CALLENDER ST,42.28848287,-71.08259001,"(42.28848287, -71.08259001)",Fire Related Reports
1843,2018,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,2018-09-03 18:05:00,,42.30676881,-71.08431925,"(42.30676881, -71.08431925)",Drug Violation
1402,2018,VANDALISM,2018-09-01 12:00:00,W NEWTON ST,42.34385799,-71.07953502,"(42.34385799, -71.07953502)",Vandalism
3802,2018,M/V ACCIDENT - PROPERTY  DAMAGE,2018-09-03 15:34:00,WASHINGTON ST,42.28492596,-71.07135254,"(42.28492596, -71.07135254)",Motor Vehicle Accident Response
619,2018,LARCENY ALL OTHERS,2018-09-03 17:17:00,ELLINGTON ST,42.30154555,-71.08118184,"(42.30154555, -71.08118184)",Larceny
3801,2018,M/V ACCIDENT - OTHER,2018-09-03 15:00:00,WARD ST,42.33511145,-71.09592156,"(42.33511145, -71.09592156)",Motor Vehicle Accident Response
1402,2018,VANDALISM,2018-09-03 15:00:00,GENEVA AVE,42.29848866,-71.06313294,"(42.29848866, -71.06313294)",Vandalism
3018,2018,SICK/INJURED/MEDICAL - POLICE,2018-09-03 17:09:00,BEACH ST,42.351084,-71.059395,"(42.35108400, -71.05939500)",Medical Assistance
3301,2018,VERBAL DISPUTE,2018-09-03 16:04:00,NIGHTINGALE ST,42.29540175,-71.08237834,"(42.29540175, -71.08237834)",Verbal Disputes
3831,2018,M/V - LEAVING SCENE - PROPERTY DAMAGE,2018-09-03 15:00:00,WASHINGTON ST,42.28788933,-71.12658585,"(42.28788933, -71.12658585)",Motor Vehicle Accident Response
3803,2018,M/V ACCIDENT - PERSONAL INJURY,2018-09-03 16:21:00,E COTTAGE ST,42.31866067,-71.05881776,"(42.31866067, -71.05881776)",Motor Vehicle Accident Response
617,2018,LARCENY THEFT FROM BUILDING,2018-09-03 16:00:00,WINTER ST,42.35602373,-71.06177615,"(42.35602373, -71.06177615)",Larceny
3625,2018,DANGEROUS OR HAZARDOUS CONDITION,2018-09-03 15:38:00,WAYLAND ST,42.31368925,-71.0742708,"(42.31368925, -71.07427080)",Other
1402,2018,VANDALISM,2018-08-31 17:00:00,A ST,42.34754258,-71.0506621,"(42.34754258, -71.05066210)",Vandalism
3501,2018,MISSING PERSON,2018-09-03 17:03:00,PERRIN ST,42.3218854,-71.07906279,"(42.32188540, -71.07906279)",Missing Person Reported
3115,2018,INVESTIGATE PERSON,2018-09-03 15:51:00,LEXINGTON AVE,42.26255067,-71.11582205,"(42.26255067, -71.11582205)",Investigate Person
616,2018,LARCENY THEFT OF BICYCLE,2018-09-03 06:15:00,CHESTNUT HILL AVE,42.3353997,-71.15025675,"(42.33539970, -71.15025675)",Larceny
3807,2018,M/V ACCIDENT - OTHER CITY VEHICLE,2018-09-03 16:09:10,,42.28768807,-71.09386923,"(42.28768807, -71.09386923)",Motor Vehicle Accident Response
301,2018,ROBBERY - STREET,2018-09-03 15:54:00,,42.31580852,-71.09829029,"(42.31580852, -71.09829029)",Robbery
1102,2018,FRAUD - FALSE PRETENSE / SCHEME,2018-09-01 17:15:00,RING RD,42.34813158,-71.08027002,"(42.34813158, -71.08027002)",Fraud
3801,2018,M/V ACCIDENT - OTHER,2018-09-03 15:29:00,TREMONT ST,42.33380683,-71.10377843,"(42.33380683, -71.10377843)",Motor Vehicle Accident Response
3006,2018,SICK/INJURED/MEDICAL - PERSON,2018-09-03 16:00:00,CENTRE ST,42.31322316,-71.11409925,"(42.31322316, -71.11409925)",Medical Assistance
3114,2018,INVESTIGATE PROPERTY,2018-09-03 15:58:00,CROFTLAND AVE,42.28107109,-71.06925083,"(42.28107109, -71.06925083)",Investigate Property
3006,2018,SICK/INJURED/MEDICAL - PERSON,2018-09-03 15:46:00,KENSINGTON ST,42.3206268,-71.09108856,"(42.32062680, -71.09108856)",Medical Assistance
2629,2018,HARASSMENT,2018-09-03 14:00:00,DEFOREST ST,42.2675628,-71.1297447,"(42.26756280, -71.12974470)",Harassment
3201,2018,PROPERTY - LOST,2018-08-22 14:00:00,HUNTINGTON AVE,42.34481182,-71.08234324,"(42.34481182, -71.08234324)",Property Lost
613,2018,LARCENY SHOPLIFTING,2018-09-03 14:31:00,NEWBURY ST,42.35059717,-71.07881031,"(42.35059717, -71.07881031)",Larceny
3006,2018,SICK/INJURED/MEDICAL - PERSON,2018-09-03 15:14:00,ROXBURY ST,42.3296087,-71.08462109,"(42.32960870, -71.08462109)",Medical Assistance
802,2018,ASSAULT SIMPLE - BATTERY,2018-09-03 15:27:00,EVERETT AVE,42.31526714,-71.0630687,"(42.31526714, -71.06306870)",Simple Assault
802,2018,ASSAULT SIMPLE - BATTERY,2018-09-02 12:30:00,VERSHIRE ST,42.27169454,-71.14650799,"(42.27169454, -71.14650799)",Simple Assault
3115,2018,INVESTIGATE PERSON,2018-09-03 14:39:00,CLIFFMONT ST,42.27668221,-71.12065268,"(42.27668221, -71.12065268)",Investigate Person
3006,2018,SICK/INJURED/MEDICAL - PERSON,2018-09-03 14:48:00,CLARE AVE,42.27360053,-71.11897042,"(42.27360053, -71.11897042)",Medical Assistance
802,2018,ASSAULT SIMPLE - BATTERY,2018-09-03 13:07:00,TENNIS RD,42.27615691,-71.09550303,"(42.27615691, -71.09550303)",Simple Assault
613,2018,LARCENY SHOPLIFTING,2018-09-03 14:07:00,GALLIVAN BLVD,42.28512354,-71.04405667,"(42.28512354, -71.04405667)",Larceny
724,2018,AUTO THEFT,2018-09-03 15:01:00,TREMONT ST,42.3411289,-71.07692951,"(42.34112890, -71.07692951)",Auto Theft
3831,2018,M/V - LEAVING SCENE - PROPERTY DAMAGE,2018-09-03 14:23:00,HANOVER ST,42.36339154,-71.05488123,"(42.36339154, -71.05488123)",Motor Vehicle Accident Response
3006,2018,SICK/INJURED/MEDICAL - PERSON,2018-09-03 13:32:00,PRISCILLA RD,42.34488259,-71.15216614,"(42.34488259, -71.15216614)",Medical Assistance
1102,2018,FRAUD - FALSE PRETENSE / SCHEME,2018-08-20 12:00:00,SHEPARD ST,42.34600153,-71.15112006,"(42.34600153, -71.15112006)",Fraud
2647,2018,THREATS TO DO BODILY HARM,2018-09-03 14:46:00,MARTHA RD,42.36580175,-71.06538257,"(42.36580175, -71.06538257)",Other
3820,2018,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,2018-09-03 14:21:00,,42.34320836,-71.0785066,"(42.34320836, -71.07850660)",Motor Vehicle Accident Response
613,2018,LARCENY SHOPLIFTING,2018-09-03 14:00:00,HUNTINGTON AVE,42.3479724,-71.07849582,"(42.34797240, -71.07849582)",Larceny
3115,2018,INVESTIGATE PERSON,2018-09-03 13:56:00,WHITFIELD ST,42.2922213,-71.07467073,"(42.29222130, -71.07467073)",Investigate Person
3803,2018,M/V ACCIDENT - PERSONAL INJURY,2018-09-03 14:02:00,,42.33892088,-71.10725211,"(42.33892088, -71.10725211)",Motor Vehicle Accident Response
3201,2018,PROPERTY - LOST,2018-09-03 14:29:00,NEW SUDBURY ST,42.36183857,-71.05976489,"(42.36183857, -71.05976489)",Property Lost
617,2018,LARCENY THEFT FROM BUILDING,2018-08-23 10:41:00,RADCLIFFE RD,42.35085449,-71.13408859,"(42.35085449, -71.13408859)",Larceny
2905,2018,VAL - OPERATING WITHOUT LICENSE,2018-09-03 14:06:00,FANEUIL ST,42.35479369,-71.14995785,"(42.35479369, -71.14995785)",Violations
3410,2018,TOWED MOTOR VEHICLE,2018-09-03 13:18:00,E SIXTH ST,42.33298734,-71.04282382,"(42.33298734, -71.04282382)",Towed
1102,2018,FRAUD - FALSE PRETENSE / SCHEME,2018-09-03 14:17:00,SAINT STEPHEN ST,42.34272627,-71.08646352,"(42.34272627, -71.08646352)",Fraud
2647,2018,THREATS TO DO BODILY HARM,2018-09-03 13:25:00,AKRON ST,42.32579408,-71.08563758,"(42.32579408, -71.08563758)",Other
1810,2018,DRUGS - SALE / MANUFACTURING,2018-09-03 13:45:00,WOODCLIFF ST,42.31580934,-71.07618683,"(42.31580934, -71.07618683)",Drug Violation
3801,2018,M/V ACCIDENT - OTHER,2018-09-03 13:28:00,ENDICOTT ST,42.36588028,-71.05740251,"(42.36588028, -71.05740251)",Motor Vehicle Accident Response
3831,2018,M/V - LEAVING SCENE - PROPERTY DAMAGE,2018-09-03 14:11:00,ROSSETER ST,42.30376511,-71.07484027,"(42.30376511, -71.07484027)",Motor Vehicle Accident Response
3114,2018,INVESTIGATE PROPERTY,2018-09-03 13:31:00,CAWFIELD ST,42.31993148,-71.06368978,"(42.31993148, -71.06368978)",Investigate Property
614,2018,LARCENY THEFT FROM MV - NON-ACCESSORY,2018-09-03 14:00:00,BLUE HILL AVE,42.3078214,-71.08354076,"(42.30782140, -71.08354076)",Larceny From Motor Vehicle
1402,2018,VANDALISM,2018-09-03 13:44:00,E SEVENTH ST,42.33238533,-71.03016099,"(42.33238533, -71.03016099)",Vandalism
1806,2018,DRUGS - CLASS B TRAFFICKING OVER 18 GRAMS,2018-09-03 13:18:00,,42.31224532,-71.07317861,"(42.31224532, -71.07317861)",Drug Violation
1848,2018,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,2018-09-03 13:14:00,TEMPLE PL,42.35521429,-71.06206351,"(42.35521429, -71.06206351)",Drug Violation
1844,2018,DRUGS - POSS CLASS C,2018-09-03 12:46:00,BEACON ST,42.35678442,-71.06670845,"(42.35678442, -71.06670845)",Drug Violation
3831,2018,M/V - LEAVING SCENE - PROPERTY DAMAGE,2018-08-31 12:00:00,SUTHERLAND RD,42.34023408,-71.14800614,"(42.34023408, -71.14800614)",Motor Vehicle Accident Response
3301,2018,VERBAL DISPUTE,2018-09-03 12:45:00,MASSACHUSETTS AVE,42.32198656,-71.06280666,"(42.32198656, -71.06280666)",Verbal Disputes
423,2018,ASSAULT - AGGRAVATED,2018-09-03 12:40:00,CENTRE ST,42.32259354,-71.10619643,"(42.32259354, -71.10619643)",Aggravated Assault
522,2018,BURGLARY - RESIDENTIAL - NO FORCE,2018-09-03 03:00:00,PETERBOROUGH ST,42.34280177,-71.1006951,"(42.34280177, -71.10069510)",Residential Burglary
3115,2018,INVESTIGATE PERSON,2018-09-03 12:00:00,WOLCOTT ST,42.23797683,-71.13000944,"(42.23797683, -71.13000944)",Investigate Person
3006,2018,SICK/INJURED/MEDICAL - PERSON,2018-09-03 11:49:00,BENNINGTON ST,42.38512136,-71.01150101,"(42.38512136, -71.01150101)",Medical Assistance
3831,2018,M/V - LEAVING SCENE - PROPERTY DAMAGE,2018-09-03 12:37:00,FISHER AVE,42.33061023,-71.10853621,"(42.33061023, -71.10853621)",Motor Vehicle Accident Response
3205,2018,M/V PLATES - LOST,2018-09-03 09:40:00,KENSINGTON PARK,42.32171349,-71.08260822,"(42.32171349, -71.08260822)",License Plate Related Incidents
2647,2018,THREATS TO DO BODILY HARM,2018-09-03 12:01:00,KEANE RD,42.29476186,-71.1623927,"(42.29476186, -71.16239270)",Other
413,2018,ASSAULT - AGGRAVATED - BATTERY,2018-09-03 12:23:00,DORCHESTER AVE,42.29328831,-71.06219497,"(42.29328831, -71.06219497)",Aggravated Assault
616,2018,LARCENY THEFT OF BICYCLE,2018-09-02 21:51:00,ARCHDALE RD,42.29277202,-71.12138967,"(42.29277202, -71.12138967)",Larceny
522,2018,BURGLARY - RESIDENTIAL - NO FORCE,2018-09-03 11:00:00,CHAMPNEY ST,42.3524123,-71.16878833,"(42.35241230, -71.16878833)",Residential Burglary
1402,2018,VANDALISM,2018-08-17 12:10:00,BLUE HILL AVE,42.29216506,-71.08896989,"(42.29216506, -71.08896989)",Vandalism
3001,2018,DEATH INVESTIGATION,2018-09-03 11:49:00,HIGH ST,42.37604137,-71.06211228,"(42.37604137, -71.06211228)",Medical Assistance
3831,2018,M/V - LEAVING SCENE - PROPERTY DAMAGE,2018-09-02 19:30:00,LAWRENCE AVE,42.31161123,-71.076256,"(42.31161123, -71.07625600)",Motor Vehicle Accident Response
2900,2018,VAL - VIOLATION OF AUTO LAW - OTHER,2018-09-03 11:14:00,BEAUFORD LN,42.31620533,-71.07609249,"(42.31620533, -71.07609249)",Other
2629,2018,HARASSMENT,2018-09-03 11:36:00,WASHINGTON ST,42.29131613,-71.07170293,"(42.29131613, -71.07170293)",Harassment
3301,2018,VERBAL DISPUTE,2018-09-03 11:30:00,SPEEDWELL ST,42.30406722,-71.06760042,"(42.30406722, -71.06760042)",Verbal Disputes
3115,2018,INVESTIGATE PERSON,2018-09-03 11:07:00,BEVERLY ST,42.36658726,-71.06019881,"(42.36658726, -71.06019881)",Investigate Person
301,2018,ROBBERY - STREET,2018-09-02 20:30:00,LYNDHURST ST,42.29290563,-71.06955795,"(42.29290563, -71.06955795)",Robbery
3301,2018,VERBAL DISPUTE,2018-09-03 11:00:00,COLUMBIA RD,42.31363409,-71.06778025,"(42.31363409, -71.06778025)",Verbal Disputes
3006,2018,SICK/INJURED/MEDICAL - PERSON,2018-09-03 10:33:00,WESTVILLE TER,42.30098009,-71.06869928,"(42.30098009, -71.06869928)",Medical Assistance
613,2018,LARCENY SHOPLIFTING,2018-09-03 11:18:00,BOYLSTON ST,42.35095909,-71.0741278,"(42.35095909, -71.07412780)",Larceny
3801,2018,M/V ACCIDENT - OTHER,2018-09-03 10:52:00,MILK ST,42.35822966,-71.05362239,"(42.35822966, -71.05362239)",Motor Vehicle Accident Response
3114,2018,INVESTIGATE PROPERTY,2018-09-02 21:30:00,TOWNSEND ST,42.3191711,-71.09192415,"(42.31917110, -71.09192415)",Investigate Property
3410,2018,TOWED MOTOR VEHICLE,2018-09-03 10:11:00,NAVARRE ST,42.27758926,-71.11755202,"(42.27758926, -71.11755202)",Towed
3830,2018,M/V - LEAVING SCENE - PERSONAL INJURY,2018-09-03 11:08:00,ATLANTIC AVE,42.357875,-71.051329,"(42.35787500, -71.05132900)",Motor Vehicle Accident Response
3801,2018,M/V ACCIDENT - OTHER,2018-09-02 15:10:00,FULLER ST,42.28202294,-71.07125917,"(42.28202294, -71.07125917)",Motor Vehicle Accident Response
3301,2018,VERBAL DISPUTE,2018-09-03 10:42:00,WHITTIER ST,42.33380238,-71.08880867,"(42.33380238, -71.08880867)",Verbal Disputes
3207,2018,PROPERTY - FOUND,2018-09-03 10:46:00,TREMONT ST,42.33402461,-71.09039049,"(42.33402461, -71.09039049)",Property Found
561,2018,BURGLARY - OTHER - ATTEMPT,2018-09-03 10:12:00,GREENWOOD AVE,42.26597955,-71.1217959,"(42.26597955, -71.12179590)",Other Burglary
2914,2018,VAL - OPERATING W/O AUTHORIZATION LAWFUL,2018-08-14 00:00:00,RIVER ST,42.26361745,-71.10237387,"(42.26361745, -71.10237387)",Violations
3006,2018,SICK/INJURED/MEDICAL - PERSON,2018-09-03 09:36:00,ASPINWALL RD,42.29125586,-71.07475092,"(42.29125586, -71.07475092)",Medical Assistance
423,2018,ASSAULT - AGGRAVATED,2018-09-03 10:00:00,HUNTINGTON AVE,42.3375009,-71.09583094,"(42.33750090, -71.09583094)",Aggravated Assault
3006,2018,SICK/INJURED/MEDICAL - PERSON,2018-09-03 09:51:47,WHEATLEY WAY,42.32935767,-71.07974589,"(42.32935767, -71.07974589)",Medical Assistance
619,2018,LARCENY ALL OTHERS,2018-08-23 13:34:00,ADAMS ST,42.27230624,-71.06721386,"(42.27230624, -71.06721386)",Larceny
3410,2018,TOWED MOTOR VEHICLE,2018-09-03 10:08:00,GREYLOCK RD,42.35042708,-71.13496065,"(42.35042708, -71.13496065)",Towed
3115,2018,INVESTIGATE PERSON,2018-09-03 09:00:00,W BROADWAY,42.33793018,-71.04947397,"(42.33793018, -71.04947397)",Investigate Person
802,2018,ASSAULT SIMPLE - BATTERY,2018-09-03 09:38:00,HARRISON AVE,42.33954199,-71.06940877,"(42.33954199, -71.06940877)",Simple Assault
3301,2018,VERBAL DISPUTE,2018-09-03 09:38:00,TOPLIFF ST,42.30375506,-71.06839375,"(42.30375506, -71.06839375)",Verbal Disputes
1109,2018,FRAUD - WIRE,2018-09-03 09:41:00,NEWBURY ST,42.34840576,-71.08688339,"(42.34840576, -71.08688339)",Fraud
3115,2018,INVESTIGATE PERSON,2018-08-30 12:00:00,PEACEABLE ST,42.34793886,-71.15229604,"(42.34793886, -71.15229604)",Investigate Person
3201,2018,PROPERTY - LOST,2018-09-03 09:23:00,ALBANY ST,42.34255919,-71.06270824,"(42.34255919, -71.06270824)",Property Lost
706,2018,AUTO THEFT - MOTORCYCLE / SCOOTER,2018-09-02 20:00:00,COMMONWEALTH AVE,42.34880461,-71.09392554,"(42.34880461, -71.09392554)",Auto Theft
1402,2018,VANDALISM,2018-09-03 05:30:00,BEACON ST,42.35393998,-71.07802992,"(42.35393998, -71.07802992)",Vandalism
3115,2018,INVESTIGATE PERSON,2018-09-03 08:12:00,RUGGLES ST,42.33445761,-71.088061,"(42.33445761, -71.08806100)",Investigate Person
1402,2018,VANDALISM,2018-09-03 07:44:00,NORFOLK ST,42.28996858,-71.0723254,"(42.28996858, -71.07232540)",Vandalism
3006,2018,SICK/INJURED/MEDICAL - PERSON,2018-09-03 07:38:00,GARFIELD AVE,42.24235156,-71.12079258,"(42.24235156, -71.12079258)",Medical Assistance
3301,2018,VERBAL DISPUTE,2018-09-03 07:50:00,HUCKINS ST,42.32368852,-71.07519735,"(42.32368852, -71.07519735)",Verbal Disputes
3115,2018,INVESTIGATE PERSON,2018-09-03 07:27:19,GREENWOOD ST,42.29716347,-71.07954018,"(42.29716347, -71.07954018)",Investigate Person
413,2018,ASSAULT - AGGRAVATED - BATTERY,2018-09-03 06:23:00,CAMBRIDGE ST,42.38356867,-71.0753672,"(42.38356867, -71.07536720)",Aggravated Assault
3301,2018,VERBAL DISPUTE,2018-09-03 06:44:00,MASCOT ST,42.28633596,-71.08500149,"(42.28633596, -71.08500149)",Verbal Disputes
3114,2018,INVESTIGATE PROPERTY,2018-09-03 06:55:00,ARLINGTON ST,42.35061995,-71.07009458,"(42.35061995, -71.07009458)",Investigate Property
3115,2018,INVESTIGATE PERSON,2018-08-29 10:00:00,ARBORWAY,42.3056348,-71.11982238,"(42.30563480, -71.11982238)",Investigate Person
3006,2018,SICK/INJURED/MEDICAL - PERSON,2018-09-03 04:06:00,HARVARD ST,42.34993442,-71.06230334,"(42.34993442, -71.06230334)",Medical Assistance
3115,2018,INVESTIGATE PERSON,2018-09-03 03:50:00,FAIRLAWN AVE,42.26788791,-71.10067012,"(42.26788791, -71.10067012)",Investigate Person
1402,2018,VANDALISM,2018-08-31 07:00:00,BULLARD ST,42.3021878,-71.07365004,"(42.30218780, -71.07365004)",Vandalism
301,2018,ROBBERY - STREET,2018-09-03 03:26:00,PORTSMOUTH ST,42.36053257,-71.14426332,"(42.36053257, -71.14426332)",Robbery
3160,2018,"FIRE REPORT - CAR, BRUSH, ETC.",2018-09-03 01:00:00,NORWELL ST,42.29828416,-71.07869447,"(42.29828416, -71.07869447)",Fire Related Reports
3301,2018,VERBAL DISPUTE,2018-09-03 02:58:00,HUNTINGTON AVE,42.3420185,-71.08566213,"(42.34201850, -71.08566213)",Verbal Disputes
3301,2018,VERBAL DISPUTE,2018-09-03 00:25:00,WOODHAVEN ST,42.27105479,-71.09753898,"(42.27105479, -71.09753898)",Verbal Disputes
413,2018,ASSAULT - AGGRAVATED - BATTERY,2018-09-03 01:33:00,TREMONT ST,42.35428377,-71.06380404,"(42.35428377, -71.06380404)",Aggravated Assault
3115,2018,INVESTIGATE PERSON,2018-09-03 02:45:00,BOYLSTON ST,42.34710196,-71.08841746,"(42.34710196, -71.08841746)",Investigate Person
3125,2018,WARRANT ARREST,2018-09-03 02:26:00,FAYETTE ST,42.34943694,-71.06650735,"(42.34943694, -71.06650735)",Warrant Arrests
3831,2018,M/V - LEAVING SCENE - PROPERTY DAMAGE,2018-09-03 01:32:00,TREMONT ST,42.34942864,-71.06536641,"(42.34942864, -71.06536641)",Motor Vehicle Accident Response
3115,2018,INVESTIGATE PERSON,2018-09-03 02:15:00,BEACON ST,42.253372,-71.11654302,"(42.25337200, -71.11654302)",Investigate Person
3114,2018,INVESTIGATE PROPERTY,2018-09-03 02:24:00,WHITBY TER,42.3143418,-71.06050395,"(42.31434180, -71.06050395)",Investigate Property
3301,2018,VERBAL DISPUTE,2018-09-03 01:40:00,WAVERLY ST,42.32037671,-71.07903447,"(42.32037671, -71.07903447)",Verbal Disputes
801,2018,ASSAULT - SIMPLE,2018-09-03 02:24:00,WASHINGTON ST,42.35042609,-71.16637332,"(42.35042609, -71.16637332)",Simple Assault
3801,2018,M/V ACCIDENT - OTHER,2018-09-03 02:06:00,,42.30340674,-71.08526661,"(42.30340674, -71.08526661)",Motor Vehicle Accident Response
3301,2018,VERBAL DISPUTE,2018-09-03 02:02:00,LYNNVILLE TER,42.30256638,-71.0782904,"(42.30256638, -71.07829040)",Verbal Disputes
3002,2018,ANIMAL CONTROL - DOG BITES - ETC.,2018-09-03 01:37:00,EUSTIS ST,42.33166164,-71.08147827,"(42.33166164, -71.08147827)",Medical Assistance
802,2018,ASSAULT SIMPLE - BATTERY,2018-09-03 01:19:00,FANEUIL HALL MARKETPLACE,42.35997967,-71.05474135,"(42.35997967, -71.05474135)",Simple Assault
413,2018,ASSAULT - AGGRAVATED - BATTERY,2018-09-03 01:00:00,BOWDOIN AVE,42.30234412,-71.0763037,"(42.30234412, -71.07630370)",Aggravated Assault
